,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
26,29.0,46.389372809418624,26857412.0,411256.0,0.3828600400751163,1.3239118480751486,1.0,0.05,0.18898581778051066,,LearningParams_Fit_alpha-beta_Fix_exp_
27,16.0,46.389372810006606,34288937.0,411256.0,0.06279103494079971,2.727308372322547,1.0,0.05,0.18898613212152826,,LearningParams_Fit_alpha-beta_Fix_exp_
28,11.0,46.389372810836754,37607659.0,411256.0,0.4186205402485848,1.8080288097241144,1.0,0.05,0.18898650800393652,,LearningParams_Fit_alpha-beta_Fix_exp_
29,7.0,46.389372812707,1988465.0,411256.0,0.2019981484246885,0.7872778739399771,1.0,0.05,0.18898719371203426,,LearningParams_Fit_alpha-beta_Fix_exp_
30,34.0,46.38937281333771,86988490.0,411256.0,0.7932057615475898,1.2924640298193033,1.0,0.05,0.18898739324298772,,LearningParams_Fit_alpha-beta_Fix_exp_
31,33.0,46.38937281382049,50123482.0,411256.0,0.4840096565344432,2.202459649270656,1.0,0.05,0.18898753821718856,,LearningParams_Fit_alpha-beta_Fix_exp_
32,44.0,46.3893728141129,16462059.0,411256.0,0.8926599858623406,1.2983362564778178,1.0,0.05,0.18898762316845832,,LearningParams_Fit_alpha-beta_Fix_exp_
33,26.0,46.389372816264476,73929698.0,411256.0,0.07985192425523722,0.746886359461482,1.0,0.05,0.18898819497956829,,LearningParams_Fit_alpha-beta_Fix_exp_
34,19.0,46.38937281839029,45305920.0,411256.0,0.21038180147213087,2.1451156813638805,1.0,0.05,0.1889794355382269,,LearningParams_Fit_alpha-beta_Fix_exp_
35,31.0,46.38937281920191,24224458.0,411256.0,0.4961053809963336,0.6410370262722309,1.0,0.05,0.1889888668921499,,LearningParams_Fit_alpha-beta_Fix_exp_
36,28.0,46.38937282832713,7020089.0,411256.0,0.21664607191668767,2.2034637302588247,1.0,0.05,0.188977603760047,,LearningParams_Fit_alpha-beta_Fix_exp_
