,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6666666666666666,9970100,408952,0.05,0.5606569689248447,0.7040829803788603,0.7643928499658528,0.8824231876446876,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.9333333333333332,5040231,100244,0.5796619685159972,0.6036289807338622,0.05,0.3907191189458621,5.257338089217208,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,5040231,100244,0.33158106492962464,0.8313574981303751,0.2672149180979509,0.7361886705488524,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.7555555555555555,5040231,100244,0.05,4.240897243753459,0.0609860193654073,0.4719918340388571,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.8444444444444444,5040231,100244,0.21317797537090716,0.8071253030297438,0.05,0.5020980982192803,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6888888888888889,1277453,100129,0.05,0.82344931113184,0.24430611400696645,0.5703617048070648,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.8444444444444444,1277453,100129,0.31013557428337124,0.02886177493366035,0.5694536311697139,1.4346398684278965,0.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,1277453,100129,0.05,1.5818337166022525,0.2683447256420161,0.5369178226572211,2.8566462605168024,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6888888888888889,1277453,100129,1.4832384129522749,0.03153405313600845,0.09365208922956046,0.6311280857720272,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5777777777777777,6960829,411256,0.05,0.08634300159326026,1.2122556602179613,1.2870375698140513,2.345363695191557,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
